sid_id,menu_cate
580.0,갈비
581.0,라면
582.0,치즈
583.0,분식
583.0,반찬
584.0,닭볶음탕
585.0,스테이크
585.0,파스타
586.0,반찬
587.0,샐러드
589.0,김치찌개
590.0,치킨
590.0,떡볶이
590.0,탕수육
591.0,케밥
592.0,스테이크
593.0,샌드위치
593.0,브런치
593.0,일식
593.0,연어
594.0,베이커리
595.0,분식
596.0,찌개
596.0,김치찌개
599.0,돈가스
600.0,샐러드
600.0,샌드위치
601.0,서양식
604.0,샐러드
605.0,튀김
606.0,스무디
607.0,김치찌개
607.0,찌개
607.0,두루치기
607.0,낙지
607.0,냉면
608.0,비프스테이크
608.0,스테이크
608.0,카레
609.0,버거
610.0,케이크
610.0,디저트
610.0,스무디
611.0,김치찌개
611.0,찌개
613.0,샐러드
614.0,비빔밥
614.0,불고기
614.0,찌개
620.0,일식
621.0,찌개
621.0,김치찌개
621.0,백반
623.0,떡볶이
625.0,치즈
625.0,과일
628.0,일식
629.0,곰탕
630.0,함박스테이크
630.0,피자
630.0,파스타
633.0,피자
635.0,보쌈
635.0,갈비
635.0,냉면
635.0,모밀
636.0,감자튀김
637.0,김치찌개
637.0,곱창
638.0,국밥
639.0,밥
639.0,삼겹살
639.0,버거
639.0,브리또
639.0,카레
640.0,닭갈비
644.0,회
644.0,연어
645.0,파스타
647.0,꼬치
647.0,회
648.0,베이커리
650.0,쌀국수
651.0,피자
651.0,치킨
654.0,샐러드
654.0,스테이크
654.0,피자
657.0,콩
657.0,버거
657.0,감자튀김
659.0,샐러드
659.0,치킨
659.0,감자튀김
661.0,피자
661.0,파스타
661.0,튀김
662.0,회
663.0,커피
664.0,반찬
665.0,라면
665.0,떡볶이
665.0,비빔밥
667.0,닭볶음탕
667.0,김치찌개
669.0,덮밥
670.0,파스타
670.0,브런치
670.0,피자
671.0,김치찌개
671.0,찌개
671.0,제육볶음
671.0,삼겹살
674.0,과일
674.0,호박
675.0,파스타
675.0,피자
675.0,브런치
678.0,꼬치
678.0,탕
678.0,튀김
681.0,샌드위치
681.0,스프
681.0,디저트
682.0,디저트
685.0,불고기
685.0,제육볶음
685.0,잡채
685.0,찜닭
685.0,마파두부
685.0,탕수육
685.0,돈부리
685.0,돈가스
685.0,카레
685.0,동파육
685.0,짜장면
685.0,짬뽕
685.0,튀김
685.0,생선구이
685.0,된장국
685.0,만두
685.0,서양식
685.0,버거
685.0,피자
685.0,파스타
685.0,치킨
685.0,스테이크
685.0,샐러드바
687.0,커피
687.0,과일
687.0,베이커리
687.0,샌드위치
687.0,샐러드
687.0,빙수
689.0,돈가스
690.0,과일
691.0,떡볶이
691.0,버거
691.0,어묵
691.0,순대
691.0,덮밥
694.0,덮밥
695.0,중식
696.0,파스타
696.0,디저트
697.0,짬뽕
697.0,튀김
698.0,주스
698.0,스무디
698.0,샐러드
699.0,제육볶음
701.0,떡볶이
701.0,닭발
701.0,곱창
701.0,오돌뼈
701.0,닭강정
702.0,파스타
702.0,피자
703.0,제과
703.0,디저트
703.0,브런치
712.0,샌드위치
713.0,제육볶음
713.0,곱창
715.0,스테이크
715.0,나베
717.0,쌈
717.0,찌개
721.0,피자
722.0,베이커리
722.0,브런치
724.0,주스
724.0,베이커리
725.0,오리
726.0,감자튀김
727.0,샌드위치
728.0,삼겹살
728.0,카레
731.0,양고기
732.0,버거
733.0,낙지
734.0,국수
734.0,돈가스
734.0,덮밥
735.0,피자
735.0,치킨
738.0,샐러드
742.0,삼겹살
743.0,김치찌개
747.0,치킨
748.0,모밀
749.0,회
750.0,호프
751.0,돈가스
751.0,라멘
752.0,브런치
753.0,호프
754.0,커피
755.0,이자카야
756.0,김밥
759.0,브런치
759.0,샐러드
759.0,파스타
761.0,닭발
762.0,스테이크
762.0,파스타
765.0,제육볶음
766.0,연어
767.0,중식
768.0,라멘
768.0,덮밥
769.0,장어
771.0,회
772.0,파스타
772.0,쌀국수
773.0,초밥
773.0,회
774.0,스테이크
776.0,제육볶음
780.0,곱창
780.0,삼겹살
780.0,보쌈
780.0,김밥
780.0,김치찌개
781.0,떡볶이
782.0,한식
783.0,샐러드
784.0,샐러드
785.0,회
785.0,튀김
785.0,라멘
786.0,김치찌개
789.0,닭갈비
789.0,삼겹살
791.0,이자카야
792.0,피자
793.0,초밥
794.0,라면
796.0,떡볶이
796.0,김밥
798.0,스테이크
798.0,파스타
